CCTVHD1,rtp://239.49.8.19:9614
CCTVHD2,rtp://239.49.8.50:9802
CCTVHD3,rtp://239.49.8.74:8000
CCTVHD4,rtp://239.49.8.51:9806
CCTVHD5,rtp://239.49.8.75:8000
CCTVHD6,rtp://239.49.8.76:8000
CCTVHD7,rtp://239.49.8.126:8000
CCTVHD8,rtp://239.49.8.77:8000
CCTVHD9,rtp://239.49.8.53:9814
CCTVHD10,rtp://239.49.8.54:9818
CCTVHD11,rtp://239.49.0.11:8080
CCTVHD12,rtp://239.49.8.55:9822
CCTVHD13,rtp://239.49.8.109:8000
CCTVHD14,rtp://239.49.8.56:9826
CCTVHD15,rtp://239.49.0.15:8112
江苏卫视,rtp://239.49.8.16:9602
东方卫视,rtp://239.49.8.17:9606
北京卫视,rtp://239.49.8.11:9414
浙江卫视,rtp://239.49.8.20:9618
